Date,Description,Counterparty,Amount,Balance
2026-06-01,Salary payment,TechFlow BV,4200.00,4200.00
2026-06-02,Monthly rent,Amsterdam Housing Co,-1450.00,2750.00
2026-06-03,Grocery shopping,Albert Heijn,-86.40,2663.60
2026-06-05,Electricity and gas,Vattenfall,-98.50,2565.10
2026-06-07,Streaming subscription,Netflix,-15.99,2549.11
2026-06-08,Public transport,NS Reizigers,-52.30,2496.81
2026-06-10,Restaurant dinner,De Kas,-72.50,2424.31
2026-06-12,Grocery shopping,Lidl,-64.20,2360.11
2026-06-14,Music subscription,Spotify,-10.99,2349.12
2026-06-15,Freelance invoice #204,Bright Design Studio,850.00,3199.12
2026-06-18,Internet bill,Ziggo,-52.50,3146.62
2026-06-20,Pharmacy,Etos,-22.35,3124.27
2026-06-22,Gym membership,Basic-Fit,-24.99,3099.28
2026-06-24,Grocery shopping,Albert Heijn,-78.90,3020.38
2026-06-26,Fuel station,Shell,-58.40,2961.98
2026-06-28,Coffee and lunch,Starbucks,-14.20,2947.78
2026-07-01,Salary payment,TechFlow BV,4200.00,7147.78
2026-07-02,Monthly rent,Amsterdam Housing Co,-1450.00,5697.78
2026-07-03,Grocery shopping,Jumbo,-93.75,5604.03
2026-07-05,Electricity and gas,Vattenfall,-104.75,5499.28
2026-07-07,Streaming subscription,Netflix,-15.99,5483.29
2026-07-09,Flight tickets,Transavia,-312.00,5171.29
2026-07-11,Team lunch reimbursement,TechFlow BV,45.00,5216.29
2026-07-14,Grocery shopping,Albert Heijn,-88.30,5127.99
2026-07-16,Music subscription,Spotify,-10.99,5117.00
2026-07-18,Internet bill,Ziggo,-52.50,5064.50
2026-07-20,Car insurance,ANWB,-128.50,4936.00
2026-07-22,Restaurant dinner,Wagamama,-48.90,4887.10
2026-07-24,Freelance invoice #211,Bright Design Studio,920.00,5807.10
2026-07-26,Gym membership,Basic-Fit,-24.99,5782.11
2026-07-27,Grocery shopping,Lidl,-71.60,5710.51
